Check ID,Created (UTC),Name,Hostname,Tags,Type,Verify Certificate,Status,Last Check Time (UTC)
12901631,2024-02-05 07:46:59,www.detmoldspecialty.com || dtml02mastez114zprod,www.detmoldspecialty.com,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_dtml"",""dtml02mastez114zprod"",""cluster_dtml02mastez114zprod""]",http,1.0,paused,
12911265,2024-02-12 15:02:34,www.greatestateswines.com || arwc01mstr40ltaprod,www.greatestateswines.com,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""arwc01mstr40ltaprod"",""cluster_arwc01mstr40ltaprod"",""customer_arwc""]",http,1.0,paused,
12918101,2024-02-16 00:11:15,northtexas.nacdonline.org || nacd01mstr323nmprod,northtexas.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918102,2024-02-16 00:11:27,newyork.nacdonline.org || nacd01mstr323nmprod,newyork.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918103,2024-02-16 00:11:30,northerncalifornia.nacdonline.org || nacd01mstr323nmprod,northerncalifornia.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918104,2024-02-16 00:11:30,northwest.nacdonline.org || nacd01mstr323nmprod,northwest.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918105,2024-02-16 00:11:34,threerivers.nacdonline.org || nacd01mstr323nmprod,threerivers.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918106,2024-02-16 00:11:36,researchtriangle.nacdonline.org || nacd01mstr323nmprod,researchtriangle.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918107,2024-02-16 00:11:40,pacificsouthwest.nacdonline.org || nacd01mstr323nmprod,pacificsouthwest.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918108,2024-02-16 00:11:43,utah.nacdonline.org || nacd01mstr323nmprod,utah.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918109,2024-02-16 00:11:45,texastricities.nacdonline.org || nacd01mstr323nmprod,texastricities.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918110,2024-02-16 00:11:49,philadelphia.nacdonline.org || nacd01mstr323nmprod,philadelphia.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918111,2024-02-16 00:15:49,connecticut.nacdonline.org || nacd01mstr323nmprod,connecticut.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918112,2024-02-16 00:15:51,minnesota.nacdonline.org || nacd01mstr323nmprod,minnesota.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918113,2024-02-16 00:15:52,florida.nacdonline.org || nacd01mstr323nmprod,florida.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918114,2024-02-16 00:15:56,carolinas.nacdonline.org || nacd01mstr323nmprod,carolinas.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918115,2024-02-16 00:16:00,nashville.nacdonline.org || nacd01mstr323nmprod,nashville.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918116,2024-02-16 00:16:02,chicago.nacdonline.org || nacd01mstr323nmprod,chicago.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918117,2024-02-16 00:16:07,newjersey.nacdonline.org || nacd01mstr323nmprod,newjersey.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918118,2024-02-16 00:16:07,heartland.nacdonline.org || nacd01mstr323nmprod,heartland.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918119,2024-02-16 00:16:10,colorado.nacdonline.org || nacd01mstr323nmprod,colorado.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918120,2024-02-16 00:16:23,newengland.nacdonline.org || nacd01mstr323nmprod,newengland.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
12918122,2024-02-16 00:17:23,atlanta.nacdonline.org || nacd01mstr323nmprod,atlanta.nacdonline.org,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""nacd01mstr323nmprod"",""cluster_nacd01mstr323nmprod"",""customer_nacd""]",http,1.0,paused,
