Check ID,Created (UTC),Name,Hostname,Tags,Type,Verify Certificate,Status,Last Check Time (UTC)
4779301,2018-09-24 12:53:25,BerOps - www.broadmail.de (http),www.broadmail.de,[],http,1.0,up,2025-05-05 08:33:07
4730585,2018-08-10 13:55:40,BerOps - https - api.broadmail.de,api.broadmail.de,[],http,1.0,up,2025-05-05 08:33:06
4779169,2018-09-24 11:19:17,BerOps - img.srv2.de (https),img.srv2.de,[],http,1.0,up,2025-05-05 08:33:25
4485414,2018-03-29 02:26:36,"EPSO: CSS Industries, Inc - e9a3b0241a134651aaa4b41272283689",usea.social.episerver.net,"[""social"",""usea"",""e9a3b0241a134651aaa4b41272283689""]",http,,up,2025-05-05 08:33:07
4485417,2018-03-29 02:26:53,"EPSO: CSS Industries, Inc - f11111b160c542cdb1ea8dc6a8d8f985",usea.social.episerver.net,"[""social"",""usea"",""f11111b160c542cdb1ea8dc6a8d8f985""]",http,,up,2025-05-05 08:32:57
4485420,2018-03-29 02:27:04,"EPSO: CSS Industries, Inc - 8c1fd9de169846b591b4163b60d6bcc0",usea.social.episerver.net,"[""social"",""usea"",""8c1fd9de169846b591b4163b60d6bcc0""]",http,,up,2025-05-05 08:32:49
4488048,2018-03-29 16:47:32,EPSO: Multiconsult ASA - 0bb4d4a78ffa4c6cac8981cad283801f,emea.social.episerver.net,"[""emea"",""social"",""0bb4d4a78ffa4c6cac8981cad283801f""]",http,,up,2025-05-05 08:33:36
4488051,2018-03-29 16:47:53,EPSO: Multiconsult ASA - 840302ec255a467bb8d1917627e47b6a,emea.social.episerver.net,"[""emea"",""social"",""840302ec255a467bb8d1917627e47b6a""]",http,,up,2025-05-05 08:33:41
4488054,2018-03-29 16:48:07,EPSO: Multiconsult ASA - 123cba89525e4a77a29287e8d1948f86,emea.social.episerver.net,"[""emea"",""social"",""123cba89525e4a77a29287e8d1948f86""]",http,,up,2025-05-05 08:33:02
4492767,2018-03-30 18:46:27,"EPSO: HD Supply Support Services, Inc. - 19ac9741eed24d0e9ae919b735e8ac9c",usea.social.episerver.net,"[""social"",""usea"",""19ac9741eed24d0e9ae919b735e8ac9c""]",http,,up,2025-05-05 08:33:38
4492770,2018-03-30 18:46:44,"EPSO: HD Supply Support Services, Inc. - e7b773b781184aae86a99a0098e5e1c9",usea.social.episerver.net,"[""social"",""usea"",""e7b773b781184aae86a99a0098e5e1c9""]",http,,up,2025-05-05 08:33:52
4492773,2018-03-30 18:47:01,"EPSO: HD Supply Support Services, Inc. - 96d795a29c304f34a311b5f3f3b9ae0f",usea.social.episerver.net,"[""social"",""usea"",""96d795a29c304f34a311b5f3f3b9ae0f""]",http,,up,2025-05-05 08:33:06
4606746,2018-05-07 18:54:29,EPSO: Green Naxela - 798440f38be848b3bf17463a7ac707ac,emea.social.episerver.net,"[""emea"",""social"",""798440f38be848b3bf17463a7ac707ac""]",http,,up,2025-05-05 08:33:55
4606749,2018-05-07 18:55:13,EPSO: Green Naxela - 0fc291ecd98d40448502e92789119382,emea.social.episerver.net,"[""emea"",""social"",""0fc291ecd98d40448502e92789119382""]",http,,up,2025-05-05 08:33:14
4606755,2018-05-07 18:56:07,EPSO: Green Naxela - ee23546115084158862fef85d0bc0501,emea.social.episerver.net,"[""emea"",""social"",""ee23546115084158862fef85d0bc0501""]",http,,up,2025-05-05 08:33:36
4779130,2018-09-24 10:14:15,BerOps - cms.broadmail.de (http),cms.broadmail.de,[],http,1.0,up,2025-05-05 08:33:16
4779298,2018-09-24 12:51:19,BerOps - srv2.de - TRK (http),srv2.de,[],http,1.0,up,2025-05-05 08:33:49
5827724,2020-02-27 11:43:48,HTTPS PT ping.page,pt.peerius.com,"[""perform"",""personalization"",""endpoint""]",http,1.0,paused,2024-07-29 16:20:32
5827726,2020-02-27 11:46:00,HTTPS PT2 ping.page,pt2.peerius.com,"[""perform"",""personalization"",""endpoint""]",http,1.0,paused,2024-07-29 16:20:28
5827739,2020-02-27 11:47:22,HTTPS PT3 ping.page,pt3.peerius.com,"[""perform"",""personalization"",""endpoint""]",http,1.0,paused,2024-07-29 16:20:48
5827742,2020-02-27 11:48:47,HTTPS PT4 ping.page,pt4.peerius.com,"[""perform"",""personalization"",""endpoint""]",http,1.0,paused,2024-07-29 16:19:35
5827750,2020-02-27 11:52:22,HTTP PT1 ping.page,pt1.peerius.com,"[""perform"",""personalization"",""endpoint""]",http,1.0,paused,2024-07-29 16:20:34
5827749,2020-02-27 11:51:16,HTTP R2T1 ping.page,r2t1.peerius.com,"[""perform"",""personalization"",""endpoint""]",http,1.0,paused,2024-09-16 16:10:35
6987798,2020-11-10 09:23:29,HTTP SE Cluster1 pool 01,sec1pool01.peerius.episerver.net,"[""perform"",""tracker"",""personalization""]",http,1.0,up,2025-05-05 08:33:17
6987803,2020-11-10 09:25:19,HTTP SE Cluster1 pool 02,sec1pool02.peerius.episerver.net,"[""perform"",""tracker"",""personalization""]",http,1.0,up,2025-05-05 08:33:29
6987806,2020-11-10 09:26:03,HTTP SE Cluster1 pool 03,sec1pool03.peerius.episerver.net,"[""perform"",""tracker"",""personalization""]",http,1.0,up,2025-05-05 08:33:46
6987807,2020-11-10 09:26:31,HTTP SE Cluster1 pool 04,sec1pool04.peerius.episerver.net,"[""perform"",""tracker"",""personalization""]",http,1.0,up,2025-05-05 08:34:04
13717063,2025-01-15 12:41:40,www.upphandlingsmyndigheten.se || uhmd02mstrn4t8xprod,www.upphandlingsmyndigheten.se,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_uhmd"",""uhmd02mstrn4t8xprod"",""cluster_uhmd02mstrn4t8xprod""]",http,1.0,up,2025-05-05 08:33:05
12780286,2023-11-02 06:25:39,www.toyota.co.nz/used-vehicles/ || tnze01mstr41prdprod,www.toyota.co.nz,[],http,1.0,up,2025-05-05 08:33:02
12781533,2023-11-03 04:29:13,www.toyota.co.nz/new-car/corolla/  || tnze01mstr41prdprod,www.toyota.co.nz,[],http,1.0,up,2025-05-05 08:33:50
8045803,2021-04-22 12:07:04,BerOps - cg.cdn.optimtx.com (big_cg) (https),cg.cdn.optimtx.com,[],http,1.0,up,2025-05-05 08:33:58
9772242,2021-11-05 16:47:16,HTTPS SE Cluster1 pool 05,sec1pool05.peerius.episerver.net,"[""perform"",""tracker"",""personalization""]",http,1.0,up,2025-05-05 08:33:31
9772244,2021-11-05 16:48:08,HTTPS SE Cluster1 pool 06,sec1pool06.peerius.episerver.net,"[""perform"",""tracker"",""personalization""]",http,1.0,up,2025-05-05 08:33:18
9772276,2021-11-05 16:55:13,HTTPS SE Cluster1 pool 07,sec1pool07.peerius.episerver.net,"[""perform"",""tracker"",""personalization""]",http,1.0,up,2025-05-05 08:33:37
11131715,2022-04-06 09:35:16,BerOps - newsletter.metro-cc.ru (ADMIN-12420) (https),newsletter.metro-cc.ru,[],http,1.0,up,2025-05-05 08:33:22
13861776,2025-04-15 09:04:59,ecom.cygate.se || cyab03aap0o3a0prod,ecom.cygate.se,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_cyab"",""cyab03aap0o3a0prod"",""cluster_cyab03aap0o3a0prod""]",http,1.0,up,2025-05-05 08:33:35
12929104,2024-02-26 08:53:55,ns3 diaverum.com,diaverum.com,[],dns,,up,2025-05-05 08:34:00
12024383,2022-12-14 02:02:33,www.semma.fi || cgff03aap6ntg1prod,www.semma.fi,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_cgff"",""cgff03aap6ntg1prod"",""cluster_cgff03aap6ntg1prod""]",http,1.0,paused,
12024385,2022-12-14 02:02:51,www.unica.fi || cgff03aap6ntg1prod,www.unica.fi,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_cgff"",""cgff03aap6ntg1prod"",""cluster_cgff03aap6ntg1prod""]",http,1.0,paused,
12031124,2022-12-19 16:41:35,optiq-emea-prod01-extract-service,optiq-emea-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:49
12031125,2022-12-19 16:41:36,optiq-emea-prod01-provisioning-service,optiq-emea-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:39
12031126,2022-12-19 16:41:36,optiq-emea-prod01-doc-service,optiq-emea-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:05
12031128,2022-12-19 16:41:36,optiq-emea-prod01-journal-service,optiq-emea-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:58
12031152,2022-12-19 16:49:15,optiq-apac-prep01-provisioning-service,optiq-apac-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:51
12031153,2022-12-19 16:49:15,optiq-apac-prep01-doc-service,optiq-apac-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:25
12031156,2022-12-19 16:49:16,optiq-apac-prep01-extract-service,optiq-apac-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:54
12031157,2022-12-19 16:49:16,optiq-apac-prep01-ingest-service,optiq-apac-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:00
12031162,2022-12-19 16:49:37,optiq-apac-prod01-extract-service,optiq-apac-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:20
12031163,2022-12-19 16:49:37,optiq-apac-prod01-doc-service,optiq-apac-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:10
12031164,2022-12-19 16:49:37,optiq-apac-prod01-ingest-service,optiq-apac-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:29
12031165,2022-12-19 16:49:37,optiq-apac-prod01-journal-service,optiq-apac-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:15
12031171,2022-12-19 16:50:43,optiq-usea-prep01-provisioning-service,optiq-usea-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:03
12031172,2022-12-19 16:50:44,optiq-usea-prep01-doc-service,optiq-usea-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:17
12031173,2022-12-19 16:50:44,optiq-usea-prep01-journal-service,optiq-usea-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:19
12031178,2022-12-19 16:50:45,optiq-usea-prep01-extract-service,optiq-usea-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:27
12031175,2022-12-19 16:50:44,optiq-usea-prod01-doc-service,optiq-usea-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:58
12031176,2022-12-19 16:50:45,optiq-usea-prod01-provisioning-service,optiq-usea-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:20
