Check ID,Created (UTC),Name,Hostname,Tags,Type,Verify Certificate,Status,Last Check Time (UTC),CNAME,A,NS
10879054,2022-02-28 09:34:35,www.sodersjukhuset.se,www.sodersjukhuset.se,"[""sodersweb01""]",http,1.0,up,2025-05-05 08:33:26,www.sodersjukhuset.se.dxcloud.episerver.net.,104.18.43.238;172.64.144.18,austin.ns.cloudflare.com.;desi.ns.cloudflare.com.
5310678,2019-06-30 13:15:36,www.forskningsparken.no,www.forskningsparken.no,"[""ws53""]",http,1.0,up,2025-05-05 08:33:43,cname.vercel-dns.com.,76.76.21.61;76.76.21.123,
839113,2013-05-08 06:54:00,www.salem.se,www.salem.se,[],http,,up,2025-05-05 08:33:57,,185.84.52.254,
10915458,2022-03-07 06:55:22,www.gda.se,www.gda.se,[],http,1.0,up,2025-05-05 08:33:00,www.gda.se.dxcloud.episerver.net.,172.64.145.235;104.18.42.21,meera.ns.cloudflare.com.;felicity.ns.cloudflare.com.
839140,2013-05-08 06:54:20,www.stat-inst.se,www.stat-inst.se,[],http,,up,2025-05-05 08:33:22,,217.114.85.159,
839148,2013-05-08 06:54:24,www.konsumenternas.se,www.konsumenternas.se,[],http,,up,2025-05-05 08:33:44,,217.114.85.218,
839153,2013-05-08 06:54:26,www.capio.se,www.capio.se,"[""everweb"",""capio""]",http,1.0,up,2025-05-05 08:33:41,www.capio.se.dxcloud.episerver.net.,104.18.36.231;172.64.151.25,felicity.ns.cloudflare.com.;meera.ns.cloudflare.com.
839170,2013-05-08 06:54:33,www.srf.nu,www.srf.nu,[],http,1.0,up,2025-05-05 08:33:49,,79.142.242.137,
839184,2013-05-08 06:54:39,www.me.se,www.me.se,"[""epwsweb101""]",http,,up,2025-05-05 08:33:03,,217.114.92.200,
839185,2013-05-08 06:54:40,www.sogeti.fi,www.sogeti.fi,[],http,1.0,paused,2025-01-23 11:05:13,,192.0.66.24,
839216,2013-05-08 06:54:53,www.stoten.se,www.stoten.se,[],http,,up,2025-05-05 08:33:43,,217.114.90.155,
839222,2013-05-08 06:54:56,www.klappen.se,www.klappen.se,"[""epwsweb102""]",http,1.0,up,2025-05-05 08:33:17,,52.157.158.235,
839240,2013-05-08 06:55:08,www.cloetta.se,www.cloetta.se,"[""cfweb02""]",http,,up,2025-05-05 08:33:31,,18.238.217.74;18.238.217.11;18.238.217.85;18.238.217.66,ns-1799.awsdns-32.co.uk.;ns-352.awsdns-44.com.;ns-1041.awsdns-02.org.;ns-959.awsdns-55.net.
839266,2013-05-08 06:55:31,www.aptit.se,www.aptit.se,[],http,1.0,up,2025-05-05 08:33:00,,217.114.85.38,
