Check ID,Created (UTC),Name,Hostname,Tags,Type,Verify Certificate,Status,Last Check Time (UTC),CNAME,A,NS
13557353,2024-09-10 16:13:58,cashback-de.tassimo.com || kdeb01mstr9an27prod,cashback-de.tassimo.com,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""kdeb01mstr9an27prod"",""cluster_kdeb01mstr9an27prod"",""customer_kdeb""]",http,1.0,paused,,cashback-de.tassimo.com.dxcloud.episerver.net.,104.18.33.30;172.64.154.226,
13560996,2024-09-12 06:15:35,cms.join.healthmart.com || mcco02mstrub73kprod,cms.join.healthmart.com,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""mcco02mstrub73kprod"",""cluster_mcco02mstrub73kprod"",""customer_mcco""]",http,1.0,paused,,cms.join.healthmart.com.dxcloud.episerver.net.,104.18.42.19;172.64.145.237,
13560997,2024-09-12 06:15:36,cms.healthmart.com || mcco02mstrub73kprod,cms.healthmart.com,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""mcco02mstrub73kprod"",""cluster_mcco02mstrub73kprod"",""customer_mcco""]",http,1.0,paused,,cms.healthmart.com.dxcloud.episerver.net.,104.18.42.19;172.64.145.237,
13563922,2024-09-14 04:28:01,www.morelikehomeloan.com || whda01mstrs987dprod,www.morelikehomeloan.com,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""whda01mstrs987dprod"",""cluster_whda01mstrs987dprod"",""customer_whda""]",http,1.0,paused,,,,
13568359,2024-09-18 08:42:59,www.gooh.dk || atoy01mstr4thd9prod,www.gooh.dk,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""atoy01mstr4thd9prod"",""cluster_atoy01mstr4thd9prod"",""customer_atoy""]",http,1.0,paused,,,165.160.13.20;165.160.15.20,
13568360,2024-09-18 08:43:20,www.gooh.nu || atoy01mstr4thd9prod,www.gooh.nu,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""atoy01mstr4thd9prod"",""cluster_atoy01mstr4thd9prod"",""customer_atoy""]",http,1.0,paused,,,165.160.13.20;165.160.15.20,
13570049,2024-09-19 07:55:45,www.essentialbuilding.com.au || caho01mstror4c9prod,www.essentialbuilding.com.au,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""caho01mstror4c9prod"",""cluster_caho01mstror4c9prod"",""customer_caho""]",http,1.0,paused,,www.essentialbuilding.com.au.dxcloud.episerver.net.,104.18.34.10;172.64.153.246,
13571097,2024-09-19 20:03:26,www.uniluxaccessories.com.au || expl01mstrfm15hprod,www.uniluxaccessories.com.au,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""expl01mstrfm15hprod"",""cluster_expl01mstrfm15hprod"",""customer_expl""]",http,1.0,paused,,www.uniluxaccessories.com.au.dxcloud.episerver.net.,172.64.155.226;104.18.32.30,austin.ns.cloudflare.com.;desi.ns.cloudflare.com.
13572068,2024-09-20 11:49:54,www.norgesgruppen.no || noda01mstrpf087prod,www.norgesgruppen.no,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""noda01mstrpf087prod"",""cluster_noda01mstrpf087prod"",""customer_noda""]",http,1.0,paused,,prod.norgesgruppen.no.,87.238.65.86,
13576458,2024-09-24 13:25:27,www.munters-luftentfeuchtung.de || munt01mstr2en961prod,www.munters-luftentfeuchtung.de,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_munt"",""munt01mstr2en961prod"",""cluster_munt01mstr2en961prod""]",http,1.0,paused,,,96.45.82.30;96.45.83.136;96.45.83.107;96.45.82.195,
